taxonomy_short,taxonomy_full,maintainer,type,url,version,notes
Clearview AI Issues,Clearview AI Privacy/Accuracy Issues,Various,case-study,https://www.nytimes.com/2020/01/18/technology/clearview-privacy-facial-recognition.html,2020,Facial recognition privacy and accuracy concerns
ShotSpotter Issues,ShotSpotter Gunshot Detection Issues,AP/Academic,case-study,https://apnews.com/article/artificial-intelligence-algorithm-technology-police-crime-7e3345ac2b,2021,Gunshot detection accuracy and bias
Content Moderation AI,Social Media Content Moderation Failures,Various,incident-db,https://incidentdatabase.ai/taxonomy/cset/ai_applications,2024,Content moderation AI incidents
YouTube Algorithm,YouTube Recommendation Issues,Mozilla/Academic,case-study,https://foundation.mozilla.org/en/youtube/findings,2024,Recommendation algorithm harms research
Deepfake Incidents,Deepfake/Synthetic Media Incidents,Sensity/Various,incident-db,https://sensity.ai/reports,2024,Deepfake abuse tracking
Financial AI Incidents,Financial Services AI Incidents,Various,incident-db,https://incidentdatabase.ai/taxonomy/cset/ai_applications,2024,Financial AI incidents subset
Knight Capital,Knight Capital Trading Algorithm,SEC,case-study,https://www.sec.gov/litigation/admin/2013/34-70694.pdf,2012,Algorithmic trading $440M loss
Flash Crash 2010,2010 Flash Crash,SEC/CFTC,case-study,https://www.sec.gov/news/studies/2010/marketevents-report.pdf,2010,Algorithmic trading market crash
Zillow iBuyer,Zillow Offers AI Pricing Failure,Various,case-study,https://www.bloomberg.com/news/articles/2021-11-02/zillow-selling-7-000-homes-for-2-8-billion-after-algorithm-stumbles,2021,Home pricing algorithm $500M+ loss
Credit Scoring AI,AI Credit Scoring Issues,CFPB/Various,incident-db,https://www.consumerfinance.gov/about-us/blog/using-alternative-data-evaluate-creditworthiness,2024,AI credit decisioning concerns
Apple Card Bias,Apple Card Credit Limit Bias,Various,case-study,https://www.bloomberg.com/news/articles/2019-11-09/viral-tweet-about-apple-card-leads-to-probe-into-goldman-sachs,2019,Gender bias in credit limits
Education AI Incidents,Education AI Incidents,Various,incident-db,https://incidentdatabase.ai/taxonomy/cset/ai_applications,2024,Educational AI incidents subset
IB Algorithm 2020,International Baccalaureate Algorithm 2020,Various,case-study,https://www.bbc.com/news/education-53923279,2020,Exam grade prediction algorithm failures
A-Levels Algorithm,UK A-Levels Algorithm 2020,Ofqual,case-study,https://www.gov.uk/government/publications/awarding-gcse-as-a-levels-in-summer-2020-interim-report,2020,UK exam grading algorithm controversy
Proctoring AI,AI Proctoring Software Issues,EFF/Various,incident-db,https://www.eff.org/deeplinks/2020/09/students-are-pushing-back-against-proctoring-surveillance-apps,2024,Remote proctoring AI bias and privacy
Infrastructure AI,Critical Infrastructure AI Incidents,Various,incident-db,https://incidentdatabase.ai/taxonomy/cset/ai_applications,2024,Infrastructure AI incidents subset
Uber ATG Crash,Uber Autonomous Vehicle Fatal Crash,NTSB,case-study,https://www.ntsb.gov/investigations/AccidentReports/Reports/HAR1903.pdf,2018,First autonomous vehicle pedestrian fatality
Cruise Incidents,Cruise AV Incidents,Various,incident-db,https://www.nhtsa.gov/press-releases/nhtsa-upgrades-cruise-llc-investigation,2024,Cruise robotaxi incidents and suspension
Waymo Incidents,Waymo AV Incident Reports,Waymo/NHTSA,incident-db,https://waymo.com/safety,2024,Waymo safety reports and incidents
AI Weapons Incidents,AI/Autonomous Weapons Concerns,Various,incident-db,https://autonomousweapons.org,2024,Autonomous weapons incidents and concerns
Drone Strike AI,AI-Assisted Targeting Incidents,Various,case-study,https://www.hrw.org/topic/arms/autonomous-weapons,2024,Military AI targeting concerns
OWASP AIVSS,AI Vulnerability Scoring System,OWASP,scoring,https://owasp.org/www-project-ai-vulnerability-scoring-system,2024,AI-specific vulnerability severity scoring
OWASP Agentic AI,OWASP Agentic AI Top 10,OWASP,weakness-list,https://owasp.org/www-project-agentic-ai-threats-and-mitigations,2024,Agentic AI security risks
Anthropic Model Card,Anthropic Claude Model Card,Anthropic,model-card,https://www.anthropic.com/claude,2024,Claude model capability documentation
Google Model Cards,Google AI Model Cards,Google,model-card,https://modelcards.withgoogle.com/object-detection,2024,Google model documentation examples
OpenAI GPT-4 Card,GPT-4 System Card,OpenAI,system-card,https://cdn.openai.com/papers/gpt-4-system-card.pdf,2023,GPT-4 capability and safety documentation
OpenAI GPT-4o Card,GPT-4o System Card,OpenAI,system-card,https://openai.com/index/gpt-4o-system-card,2024,GPT-4o multimodal system card
OpenAI o1 Card,o1 System Card,OpenAI,system-card,https://openai.com/index/openai-o1-system-card,2024,o1 reasoning model system card
Meta Llama Card,Llama Model Card,Meta,model-card,https://github.com/meta-llama/llama-models/blob/main/models/llama3_2/MODEL_CARD.md,2024,Llama model documentation
HuggingFace Model Cards,HuggingFace Model Cards,HuggingFace,model-card,https://huggingface.co/docs/hub/model-cards,2024,Community model card standard
AI Risk Cards,AI Risk Cards,Various,risk-card,https://airisk.mit.edu,2024,MIT AI risk documentation format
